,1917-18,1918-19,1919-20,1920-21,1921-22,1922-23,1923-24,1924-25,1925-26,1926-27,1927-28,1928-29,1929-30,1930-31,1931-32,1932-33,1933-34,1934-35,1935-36,1936-37,1937-38,1938-39,1939-40,1940-41,1941-42,1942-43,1943-44,1944-45,1945-46,1946-47,1947-48,1948-49,1949-50,1950-51,1951-52,1952-53,1953-54,1954-55,1955-56,1956-57,1957-58,1958-59,1959-60,1960-61,1961-62,1962-63,1963-64,1964-65,1965-66,1966-67,1967-68,1968-69,1969-70,1970-71,1971-72,1972-73,1973-74,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-2000,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
Canada,95.7,96.7,90.7,91.6,94.9,92.9,90.7,92.9,93.2,95.1,96.6,92.8,94.1,91.3,91.7,89.1,89.3,89.7,89.3,90.5,88.1,89,93.4,95,94.1,95.4,91.3,94.9,94.4,94.9,92.4,91.9,94,94,94.6,96.5,98.2,98.4,98.5,98,97.9,98.9,99,98.9,98.6,97.1,99.4,98.9,98,98.4,97.4,97.4,96.6,96.7,96.2,95.7,93.5,92.5,92.2,89.8,88.4,85.2,83.7,81.4,80.5,78.4,78.3,76.7,75.9,77.1,76.2,75.6,73.2,71.6,69.9,65.3,64.4,62.9,61.5,61.4,60.2,58.4,54.1,52.6,52.4,52.4,52.7,,52.5,50.2,50.1,51.4,54.1,52.6,52.6,52.6,52.6,51.2,48.6,47.7,46.1,43.6,42.9,43.7,42.7,42.4,42.4,41.7
United States,1.2,0.6,6.5,7.2,4.3,6.7,9.3,7.1,6.8,4.4,1.8,4.5,3.8,6.1,6.2,7.1,6.1,6.3,7.5,6.2,8,7.6,4.8,3.4,4.1,4.6,7.4,5.1,4,3.4,4.6,4,2.8,2,1,0.9,0.8,0.9,0.5,1,1.1,0.1,0.1,0.2,0.4,1.9,0.6,0.9,1,0.6,1.9,1.1,2.1,1.9,2.9,3.2,4.2,5.4,5.8,7.4,7.9,8.8,9.9,11.1,10.3,11.1,11.6,12.9,13.9,14.1,14.7,15.4,17,17.3,18.3,18.6,17.9,18.5,18.4,17.3,16.8,16.2,17.1,16,15.3,14.7,16.2,,17.9,18.8,20.5,20.6,20.6,22.2,22.3,22.8,23,22.6,23.4,24.6,25.6,27,26.7,26.9,27.6,28.4,28.8,28.8
Sweden,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,0.3,0.4,0.4,0.8,1.6,1.2,1.2,1.6,2.1,4.2,4.3,4.2,4.4,4.7,5.7,5.6,4.9,3.8,4.6,4.2,3.4,3.2,2.9,3.3,3.5,3.7,4.3,5.4,5.7,5.7,6.3,6,6.6,7.1,6.1,,6,5.9,6.6,6.5,6.2,6.9,6.7,6.7,7.3,8.9,9.8,9.3,10.8,11.2,11.3,9.8,10.2,9.9,9.4,9.4
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,1.4,1.9,3.2,6.1,7.3,7.4,7.5,7,6.9,7.5,7.8,8.2,7.4,7.5,6.7,,5.7,5.8,4.3,4.1,3.5,3.4,3.2,3.7,3.6,3.2,4.3,4.4,4.1,4.4,4.8,5.5,5.5,5.8,6.2,6.5
Finland,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,1,0.9,0.8,0.3,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.1,,0.8,1.1,2.2,2.2,1.8,1.9,2.4,2.6,2,2.3,2.7,1.6,1.4,1.5,1.1,1.2,1.8,2.1,2.2,2.2,3,3.7,3.8,3.9,4,,4.2,4.9,4,4.2,4.1,3.8,3.4,3.2,3.3,3.4,3.9,4.3,4.4,4.9,4.5,5.5,5.3,5.1,4.9,5.1
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0.2,0.3,0.3,0.6,0.7,1.8,1,1.3,1,1.2,1.1,1.4,1.8,3.1,3,3.4,3.5,3.9,4.2,3.8,4.2,5.9,6.8,7.7,8.2,8,7.9,,7.3,7.8,7.8,6.7,5.6,5.2,5.7,5.1,4.5,4.5,4,3.4,3.7,3.5,3.9,3.3,3.3,3,2.7,2.7
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.2,0.1,0,0.1,0.1,0.1,0.1,0.3,0.2,0.1,0.2,,0.4,0.4,0.3,0.4,0.3,0.4,1,0.9,1.2,1.3,1.1,1.4,1.4,1.5,1.6,1.3,1.4,1.7,1.4,1.3
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0,0,0.2,0.2,0.2,0.4,0.2,0.2,0.4,0.4,0.4,0.3,0.4,0.3,0.2,0.6,0.4,0.5,0.5,0.6,0.7,0.8,,1,1.1,1,0.7,1,0.8,0.7,0.8,0.5,0.8,0.9,0.9,0.7,0.8,0.8,1,0.8,0.9,1,0.9
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.7,0.9,0.8,0.9,1,0.7,0.7,0.7,0.2,0.6,0.5,0.7,0.7,0.7,1.2,1.1,1.5,1.7,2.2,3,3.4,3.9,3.5,,3.4,2.9,2.7,2.2,1.8,1.7,1.5,1.4,1.5,1.7,1.2,1.4,0.9,0.9,1,0.9,0.8,0.7,0.9,0.9
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0,0.4,0.2,0.4,0.2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.4,0.5,0.7,0.8,1,1,0.7,0.9,1,1.1,0.9,0.9,0.7,0.6,0.6,0.6,0.5
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0,0.3,0.5,0.4,0.2,0.4,0.5,0.5,0.7,0.8,0.7,0.6,0.4,,0.3,0.4,0.4,0.4,0.4,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.3,0.5,0.3,0.5,0.4,0.4,0.7
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.1,0.1,0.2,0.3,0.3,,0.2,0.2,,0.3,,0.4,0.3,0.5,0.6,0.4,0.7,0.5,0.3,0.1,0.1,0.3,0.1,0,0,0,0.2,0.3,0.3,0.3,0.5
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,0,,,0.2,0.2,0.1,0,,0,0.3,0.2,0,0,0.2,0,0.1,0.2,0.2,0.3,0.3,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.3
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.2,,,,0,0.1,0,0.1,,,,,,,,,0,0.1,0.2,0,0,0.1,0.1,0.2,0.1,0,0,0,0.1,,0.1,0.1,0.1,0.1,0.1,0,0,0.2,0.2,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.3,0.1,0.2,0.1
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.2,0.3,0.4,0.5,0.5,0.5,0.4,0.5,0.4,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.1,0,0.1,0.1,0.1,0.2,0.1
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.1,0.1,0.1,0.1
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.2,0.1,0.1,0.1,0,0,0,0,0,,,,,,,,0,0,0.1,,0.2,0.3,0.2,0.4,0.2,0.5,0.5,0.3,0.4,0.4,0.5,0.4,0.5,0.4,0.3,0.1,0.2,0,0.2,0.3
UK,3.1,2.7,2.9,1.2,0.8,0.4,0,0,0,0.5,1.7,2.7,2.1,2,1.9,3,4.5,4.1,2.3,2.4,3.1,2.4,1.7,1.5,1.7,,1.3,,1.6,1.7,3,3.1,2.3,3.2,3.4,1.5,0.9,0.7,1,1,1,1,0.9,1,1,1,,0.1,0.9,1,0.6,1,0.7,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.2,0.3,0.2,0.2,0,0,0,,,,,,,,,0.1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,0.6,0.2,,0,,0.8,0.8,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.3,,0.1,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.3,0.4,0.5,0.3,0.3,0.3,0.2,0.5,0.5,0.4,0.2,0.1,0,0,,0,,0,0,0.1,0.1,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.3,0.2,0.5,0.3,0.2,0.3,0.2,0.2,0.1,0.4,0.4,0.2,0.3,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,,,,,,,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.1,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.2,0.2,0.1,0.3,0.2,,0.4,0.4,0.5,0.5,0.5,0.2,0.1,0.1,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.1,,0,,,0,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,