,Others,Pro-Administration,Anti-Administration,Federalists,Democrat Republicans,Jacksonian,Anti-Jackson,Nullifiers,Democrats,Whigs,Opposition,Republicans,,,,,
1789,,37,28,,,,,,,,,,,,,,
1790,,37,28,,,,,,,,,,,,,,
1791,,39,30,,,,,,,,,,,,,,
1792,,39,30,,,,,,,,,,,,,,
1793,,51,54,,,,,,,,,,,,,,
1794,,51,54,,,,,,,,,,,,,,
1795,,,,47,59,,,,,,,,,,,,
1796,,,,47,59,,,,,,,,,,,,
1797,,,,57,49,,,,,,,,,,,,
1798,,,,57,49,,,,,,,,,,,,
1799,,,,60,46,,,,,,,,,,,,
1800,,,,60,46,,,,,,,,,,,,
1801,,,,38,68,,,,,,,,,,,,
1802,,,,38,68,,,,,,,,,,,,
1803,,,,39,103,,,,,,,,,,,,
1804,,,,39,103,,,,,,,,,,,,
1805,,,,28,114,,,,,,,,,,,,
1806,,,,28,114,,,,,,,,,,,,
1807,,,,26,116,,,,,,,,,,,,
1808,,,,26,116,,,,,,,,,,,,
1809,,,,50,92,,,,,,,,,,,,
1810,,,,50,92,,,,,,,,,,,,
1811,,,,36,107,,,,,,,,,,,,
1812,,,,36,107,,,,,,,,,,,,
1813,,,,68,114,,,,,,,,,,,,
1814,,,,68,114,,,,,,,,,,,,
1815,,,,64,119,,,,,,,,,,,,
1816,,,,64,119,,,,,,,,,,,,
1817,,,,39,146,,,,,,,,,,,,
1818,,,,39,146,,,,,,,,,,,,
1819,,,,26,160,,,,,,,,,,,,
1820,,,,26,160,,,,,,,,,,,,
1821,,,,32,155,,,,,,,,,,,,
1822,,,,32,155,,,,,,,,,,,,
1823,,,,24,189,,,,,,,,,,,,
1824,,,,24,189,,,,,,,,,,,,
1825,,,,,,104,109,,,,,,,,,,
1826,,,,,,104,109,,,,,,,,,,
1827,,,,,,113,100,,,,,,,,,,
1828,,,,,,113,100,,,,,,,,,,
1829,5,,,,,136,72,,,,,,,,,,
1830,5,,,,,136,72,,,,,,,,,,
1831,21,,,,,126,66,,,,,,,,,,
1832,21,,,,,126,66,,,,,,,,,,
1833,34,,,,,143,63,,,,,,,,,,
1834,34,,,,,143,63,,,,,,,,,,
1835,24,,,,,143,75,,,,,,,,,,
1836,24,,,,,143,75,,,,,,,,,,
1837,14,,,,,,,,128,100,,,,,,,
1838,14,,,,,,,,128,100,,,,,,,
1839,8,,,,,,,,125,109,,,,,,,
1840,8,,,,,,,,125,109,,,,,,,
1841,2,,,,,,,,98,142,,,,,,,
1842,2,,,,,,,,98,142,,,,,,,
1843,4,,,,,,,,147,72,,,,,,,
1844,4,,,,,,,,147,72,,,,,,,
1845,7,,,,,,,,142,79,,,,,,,
1846,7,,,,,,,,142,79,,,,,,,
1847,4,,,,,,,,110,116,,,,,,,
1848,4,,,,,,,,110,116,,,,,,,
1849,11,,,,,,,,113,108,,,,,,,
1850,11,,,,,,,,113,108,,,,,,,
1851,21,,,,,,,,127,85,,,,,,,
1852,21,,,,,,,,127,85,,,,,,,
1853,6,,,,,,,,157,71,,,,,,,
1854,6,,,,,,,,157,71,,,,,,,
1855,51,,,,,,,,83,,100,,,,,,
1856,51,,,,,,,,83,,100,,,,,,
1857,13,,,,,,,,131,,,94,,,,,
1858,13,,,,,,,,131,,,94,,,,,
1859,23,,,,,,,,101,,,113,,,,,
1860,23,,,,,,,,101,,,113,,,,,
1861,28,,,,,,,,42,,,106,,,,,
1862,28,,,,,,,,42,,,106,,,,,
1863,,,,,,,,,80,,,103,,,,,
1864,,,,,,,,,80,,,103,,,,,
1865,,,,,,,,,46,,,145,,,,,
1866,,,,,,,,,46,,,145,,,,,
1867,,,,,,,,,49,,,143,,,,,
1868,,,,,,,,,49,,,143,,,,,
1869,,,,,,,,,73,,,170,,,,,
1870,,,,,,,,,73,,,170,,,,,
1871,3,,,,,,,,104,,,136,,,,,
1872,3,,,,,,,,104,,,136,,,,,
1873,,,,,,,,,88,,,203,,,,,
1874,,,,,,,,,88,,,203,,,,,
1875,3,,,,,,,,181,,,107,,,,,
1876,3,,,,,,,,181,,,107,,,,,
1877,,,,,,,,,156,,,137,,,,,
1878,,,,,,,,,156,,,137,,,,,
1879,14,,,,,,,,150,,,128,,,,,
1880,14,,,,,,,,150,,,128,,,,,
1881,11,,,,,,,,130,,,152,,,,,
1882,11,,,,,,,,130,,,152,,,,,
1883,6,,,,,,,,200,,,119,,,,,
1884,6,,,,,,,,200,,,119,,,,,
1885,2,,,,,,,,182,,,140,,,,,
1886,2,,,,,,,,182,,,140,,,,,
1887,4,,,,,,,,170,,,151,,,,,
1888,4,,,,,,,,170,,,151,,,,,
1889,1,,,,,,,,156,,,173,,,,,
1890,1,,,,,,,,156,,,173,,,,,
1891,14,,,,,,,,231,,,88,,,,,
1892,14,,,,,,,,231,,,88,,,,,
1893,10,,,,,,,,220,,,126,,,,,
1894,10,,,,,,,,220,,,126,,,,,
1895,7,,,,,,,,104,,,246,,,,,
1896,7,,,,,,,,104,,,246,,,,,
1897,16,,,,,,,,134,,,206,,,,,
1898,16,,,,,,,,134,,,206,,,,,
1899,9,,,,,,,,163,,,185,,,,,
1900,9,,,,,,,,163,,,185,,,,,
1901,5,,,,,,,,153,,,198,,,,,
1902,5,,,,,,,,153,,,198,,,,,
1903,,,,,,,,,178,,,207,,,,,
1904,,,,,,,,,178,,,207,,,,,
1905,,,,,,,,,136,,,250,,,,,
1906,,,,,,,,,136,,,250,,,,,
1907,,,,,,,,,164,,,222,,,,,
1908,,,,,,,,,164,,,222,,,,,
1909,,,,,,,,,172,,,219,,,,,
1910,,,,,,,,,172,,,219,,,,,
1911,1,,,,,,,,228,,,162,,,,,
1912,1,,,,,,,,228,,,162,,,,,
1913,18,,,,,,,,290,,,127,,,,,
1914,18,,,,,,,,290,,,127,,,,,
1915,8,,,,,,,,231,,,193,,,,,
1916,8,,,,,,,,231,,,193,,,,,
1917,,,,,,,,,210,,,216,,,,,
1918,,,,,,,,,210,,,216,,,,,
1919,7,,,,,,,,191,,,237,,,,,
1920,7,,,,,,,,191,,,237,,,,,
1921,1,,,,,,,,132,,,300,,,,,
1922,1,,,,,,,,132,,,300,,,,,
1923,3,,,,,,,,207,,,225,,,,,
1924,3,,,,,,,,207,,,225,,,,,
1925,5,,,,,,,,183,,,247,,,,,
1926,5,,,,,,,,183,,,247,,,,,
1927,3,,,,,,,,195,,,237,,,,,
1928,3,,,,,,,,195,,,237,,,,,
1929,1,,,,,,,,163,,,267,,,,,
1930,1,,,,,,,,163,,,267,,,,,
1931,1,,,,,,,,217,,,217,,,,,
1932,1,,,,,,,,217,,,217,,,,,
1933,5,,,,,,,,313,,,117,,,,,
1934,5,,,,,,,,313,,,117,,,,,
1935,10,,,,,,,,322,,,103,,,,,
1936,10,,,,,,,,322,,,103,,,,,
1937,13,,,,,,,,333,,,89,,,,,
1938,13,,,,,,,,333,,,89,,,,,
1939,5,,,,,,,,261,,,169,,,,,
1940,5,,,,,,,,261,,,169,,,,,
1941,5,,,,,,,,268,,,162,,,,,
1942,5,,,,,,,,268,,,162,,,,,
1943,4,,,,,,,,222,,,209,,,,,
1944,4,,,,,,,,222,,,209,,,,,
1945,2,,,,,,,,243,,,190,,,,,
1946,2,,,,,,,,243,,,190,,,,,
1947,1,,,,,,,,188,,,246,,,,,
1948,1,,,,,,,,188,,,246,,,,,
1949,2,,,,,,,,262,,,171,,,,,
1950,2,,,,,,,,262,,,171,,,,,
1951,1,,,,,,,,235,,,199,,,,,
1952,1,,,,,,,,235,,,199,,,,,
1953,1,,,,,,,,213,,,221,,,,,
1954,1,,,,,,,,213,,,221,,,,,
1955,,,,,,,,,232,,,203,,,,,
1956,,,,,,,,,232,,,203,,,,,
1957,,,,,,,,,234,,,201,,,,,
1958,,,,,,,,,234,,,201,,,,,
1959,,,,,,,,,284,,,153,,,,,
1960,,,,,,,,,284,,,153,,,,,
1961,,,,,,,,,262,,,175,,,,,
1962,,,,,,,,,262,,,175,,,,,
1963,,,,,,,,,258,,,176,,,,,
1964,,,,,,,,,258,,,176,,,,,
1965,,,,,,,,,295,,,140,,,,,
1966,,,,,,,,,295,,,140,,,,,
1967,,,,,,,,,247,,,187,,,,,
1968,,,,,,,,,247,,,187,,,,,
1969,,,,,,,,,243,,,192,,,,,
1970,,,,,,,,,243,,,192,,,,,
1971,,,,,,,,,255,,,180,,,,,
1972,,,,,,,,,255,,,180,,,,,
1973,,,,,,,,,243,,,192,,,,,
1974,,,,,,,,,243,,,192,,,,,
1975,,,,,,,,,291,,,144,,,,,
1976,,,,,,,,,291,,,144,,,,,
1977,,,,,,,,,292,,,143,,,,,
1978,,,,,,,,,292,,,143,,,,,
1979,,,,,,,,,277,,,158,,,,,
1980,,,,,,,,,277,,,158,,,,,
1981,,,,,,,,,242,,,193,,,,,
1982,,,,,,,,,242,,,193,,,,,
1983,,,,,,,,,269,,,166,,,,,
1984,,,,,,,,,269,,,166,,,,,
1985,,,,,,,,,253,,,182,,,,,
1986,,,,,,,,,253,,,182,,,,,
1987,,,,,,,,,258,,,177,,,,,
1988,,,,,,,,,258,,,177,,,,,
1989,,,,,,,,,260,,,175,,,,,
1990,,,,,,,,,260,,,175,,,,,
1991,,,,,,,,,268,,,167,,,,,
1992,,,,,,,,,269,,,167,,,,,
1993,,,,,,,,,259,,,176,,,,,
1994,,,,,,,,,259,,,176,,,,,
1995,,,,,,,,,205,,,230,,,,,
1996,,,,,,,,,205,,,230,,,,,
1997,,,,,,,,,207,,,228,,,,,
1998,,,,,,,,,207,,,228,,,,,
1999,,,,,,,,,212,,,223,,,,,
2000,,,,,,,,,212,,,223,,,,,
2001,,,,,,,,,213,,,222,,,,,
2002,,,,,,,,,213,,,222,,,,,
2003,,,,,,,,,206,,,229,,,,,
2004,,,,,,,,,206,,,229,,,,,
2005,,,,,,,,,203,,,232,,,,,
2006,,,,,,,,,203,,,232,,,,,
2007,,,,,,,,,233,,,202,,,,,
2008,,,,,,,,,233,,,202,,,,,
2009,,,,,,,,,257,,,178,,,,,
2010,,,,,,,,,257,,,178,,,,,
2011,,,,,,,,,193,,,242,,,,,
2012,,,,,,,,,193,,,242,,,,,
2013,,,,,,,,,201,,,234,,,,,
2014,,,,,,,,,201,,,234,,,,,
2015,,,,,,,,,188,,,247,,,,,
2016,,,,,,,,,188,,,247,,,,,
2017,,,,,,,,,194,,,241,,,,,
2018,,,,,,,,,194,,,241,,,,,
2019,,,,,,,,,235,,,200,,,,,
2020,,,,,,,,,235,,,200,,,,,
2021,,,,,,,,,222,,,213,,,,,
2022,,,,,,,,,222,,,213,,,,,
2023,,,,,,,,,212,,,220,,,,,
2024,,,,,,,,,212,,,220,,,,,
2025,,,,,,,,,215,,,219,,,,,