Person,Lover,Type,Episode
Homer Simpson,Marge Simpson,Married,S01E01
Barney Gumble,Christmas Lady Friend,?,S01E01
Marge Simpson,Jacques,Affair,S01E09
Rev Timothy Lovejoy,Helen Lovejoy,Married,S01E09
Waylon Smithers,Twins,Dated,S01E10
Charles Montgomery Burns,Twins,Dated,S01E10
Homer Simpson,Princess Kashmir,Flirts,S01E10
Eugene Fisk,Woman from valve maintenance,Married,S01E10
Karl,Homer Simpson,Flirts,S02E02
Flash Baylor,Marge Simpson,Flirts,S02E05
Ned Flanders,Maude Flanders,Married,S02E06
Edna Krabappel,Master Sushi Chef,Dated,S02E11
John S,Gloria S,Married,S02E12
Jacqueline Bouvier,Clancy Bouvier,Married,S02E12
Marge Simpson,Artie Ziff,Dated,S02E12
Selma Bouvier,Stanley Peterson,Flirts,S02E14
Seymour Skinner,Patty Bouvier,Dated,S02E14
Abe Simpson,World's oldest woman,?,S02E15
Abe Simpson,Mona Simpson,Married,S02E15
Abe Simpson,Carney,Affair,S02E15
Stanley Peterson,Martha Peterson,Married,S02E15
Dr Julius Hibbert,Bernice Hibbert,Married,S02E16
Abe Simpson,Beatrice Simmons,Dated,S02E17
Lisa Simpson,Mr Bergstrom,Crush,S02E19
Girl from Apt Building,Mr Bergstrom,Flirts,S02E19
Edna Krabappel,Mr Bergstrom,Flirts,S02E19
Homer Simpson,Maude,Flirts,S02E20
Lois Pennycandy,Krusty,Flirts,S03E06
Apu,Princess Kashmir,Dated,S03E08
Mendoza,Mendoza's Wife,Married,S03E09
Quimby,Girl with rack in the 4th row,Flirts,S03E09
Edna Krabappel,Sailors,Flirts,S03E10
Kent,Lizard Lady,Date,S03E10
Edna Krabappel,Joey Ramone,Flirts,S03E10
Edna Krabappel,Homer Simpson,Flirts,S03E10
Moe,Colette,Dated,S03E10
Krusty,2 Girls on his arm,Dated,S03E10
Cletus,Ailene,Married,S03E11
Lisa Simpson,Corey,Crush,S03E13
Edna Krabappel,Woodrow,Crush,S03E16
Edna Krabappel,Mr. Krabappel,Married,S03E16
Quimby,Girl in the red dress,Flirts,S03E18
Homer Simpson,Rejecting Girls,Flirts,S03E20
Lurleen,Homer Simpson,Affair,S03E20
Selma,Sideshow Bob,Married,S03E21
Otto,Topless Dancer,Dated,S03E23
Samantha,Milhouse,Dated,S03E23
Luanne,Kirk,Married,S03E23
Fuzzy Bunny,Fluffy Bunny,Married,S03E23
Martin,Martha,Married,S04E01
Boys at school,Lisa Simpson,Flirts,S04E04
Marge Simpson,Jack Nicklaus,Dreams About,S04E04
Krusty Doll,Malibu Stacy Doll,Married,S04E05
Marge Simpson,Ape Homer,Married,S04E05
Mr Burns Father,Mr Burns Mother,Married,S04E05
Scratchy,Bomb Girl,Married,S04E06
Charles Montgomery Burns,Marge Simpson,Flirts,S04E07
Bart,Laura,Crush,S04E08
Laura,Jimbo Jones,Dated,S04E08
Barney Gumble,Linda Ronstadt,Dated,S04E09
Arnie Pie,Arnie Pie Wife,Married,S04E09
Selma,Supermarket Bagger,Flirts,S04E13
Selma,Moleman,Dated,S04E13
Mr Muntz,Mrs Muntz,Married,S04E14
Chief Wiggum,Wiggum's Wife,Married,S04E15
Ralph,Lisa Simpson,Crush,S04E15
Barney Gumble,Philip,Dated,S04E21
Barney Gumble,Japanese Conceptual Artist,Dated,S05E01
Jasper,Abe Simpson,Flirts,S05E02
Quimby,Blonde Girl,Flirts,S05E07
Mindy,Homer Simpson,Affair,S05E09
Stacy,Husband 5,Married,S05E14
Stacy,Husband 4,Married,S05E14
Stacy,Husband 3,Married,S05E14
Stacy,Husband 2,Married,S05E14
Stacy,Husband 1,Married,S05E14
Quimby,Young Girl,Flirts,S05E18
Marge Simpson,Lee Majors,Dreams About,S05E18
Ned's Dad,Ned's Mom,Married,S05E19
Fred Quimby,Girl he's dating,Dated,S05E20
Abe Simpson,Jacqueline Bouvier,Dated,S05E21
Charles Montgomery Burns,Jacqueline Bouvier,Dated,S05E21
Waylon Smithers,Waylon Smithers Wife,Divorced,S05E22
Moe,Marge Simpson,Flirts,S05E22
Edna Krabappel,Lionel Hutz,Dated,S05E22
Charming Pool Boy,Lisa Simpson,Flirts,S06E01
Marge Simpson,Pirate,Dreams About,S06E02
Bart,Sarah Plain and Tall,Dated,S06E07
Bart,Jessica,Dated,S06E07
Jessica,Cool Boy,Dated,S06E07
Lisa Simpson,Boy who works at library,Crush,S06E07
Quimby,Brunette,Flirts,S06E09
Homer Simpson,Babysitter,Nothing,S06E09
Prof Frink,Mrs Frink,Married,S06E10
Santas Little Helper,Snowball II,Living in Sin,S06E11
Barney Gumble,Mobster Sister,Crush,S06E15
Scratchy,Girl Cat,Engaged,S06E18
Milhouse,Lisa Simpson,Crush,S06E19
Lisa Simpson,Hugh Hawkfield,Engaged,S06E19
Cletus Slack Jaw,Brandine,Married,S07E03
Snake,Shoshana,Dated,S07E04
Sherry Terry dad,Sherry Terry mom,Married,S07E04
Paul McCartney,Linda McCartney,Married,S07E05
Selma,FBI Agent,Flirts,S07E08
George Bush,Barbara Bush,Married,S07E13
Mrs Burns,Taft,Affair,S07E17
Krusty,Estranged Wife,Married,S07E18
Troy McClure,Selma,Married,S07E19
Troy McClure,Ms Piggy,In Love,S07E19
Troy McClure,Fish,Kink,S07E19
Lisa Simpson,Landon Alger,Crush,S07E20
Bumblebee Man,Mrs Bumblebee Man,Married,S07E21
Apu,Indian Girl,Flirts,S07E21
Selma,Lionel Hutz,Married,S07E23
Apu's Father,Apu's Mother,Married,S07E23
Abe Simpson Mother,Abe Simpson Father,Married,S07E23
Otto,Crystal,Dated,S08E02
Charles Montgomery Burns,Mimsy Bankroft,Dated,S08E04
Charles Montgomery Burns,Lily Bankroft,Dated,S08E04
Larry Burns,Larry Burns Wife,Married,S08E04
Seymour Skinner,Roxanne,Crush,S08E05
Quimby,Quimby Wife,Married,S08E05
Kirk,Starla,Dated,S08E06
Kearney,Kearney's ex wife,Divorced,S08E06
Luanne,"Chase ""Pyro""",Dated,S08E06
Lisa Simpson,Nelson,Dated,S08E07
Janie,Milhouse,Crush,S08E07
Uter,Janie,Crush,S08E07
Dr Nick,Some random girl,Flirts,S08E09
Willie,Sherrie Bobbins,Dated,S08E13
Nelson,Sherrie Bobbins,Crush,S08E13
John Waters,Waylon Smithers,Dated,S08E15
Sideshow Bob,Edna Krabappel,Dated,S08E16
Chief Wiggum,Princess Kashmir,Flirts,S08E18
Seymour Skinner,Edna Krabappel,Dated,S08E19
Lou,Another Random Girl,Dated,S08E20
Moe,Lady that yells in front of drug store,Flirts,S08E24
Barney Gumble,Lady that yells in front of drug store,Dated,S08E24
Moe,Girl who got in car accident,Dated,S08E24
Abe Simpson,Agnes Skinner,Flirts,S09E02
Krusty,Mia Farrow,Married,S09E03
Selma,TV Repair Guy,Flirts,S09E05
Quimby,Red Headed girl,Flirts,S09E05
Apu,Manjula,Married,S09E07
Simpsons Neighbor,Apu,Dated,S09E07
Selma,Apu,Dated,S09E07
Ms Hoover,Apu,Dated,S09E07
Luanne,Apu,Dated,S09E07
Krusty's secretary,Apu,Dated,S09E07
Apu,4 random girls in his car,Dated,S09E07
Sideshow Mel,Barbara,Dated,S09E08
Santas Little Helper,Greyhound,Lovers,S09E11
Carney Boy,Lisa Simpson,Flirts,S09E12
Comic Book Guy,Super hot red head,Married,S09E13
Barney Gumble,Otto,Married,S09E13
Seymour Skinner,Agnes Skinner,Married,S09E13
Canyonaro Guy 1,Canyonaro Guy 2,Flirts,S09E15
Moe,Two girls at club,Flirts,S09E16
Moe,Renae,Dated,S09E16
Otto,Princess Kashmir,Flirts,S09E16
Moe,Mail ordered bride,Married,S09E16
Girl playing violin,Husband in crowd,Married,S09E17
Wendel,Red head at dance,Dated,S10E01
Milhouse,girl with head gear,Dated,S10E01
Scratchy,Snowball II,Flirts,S10E04
Kang,Marge Simpson,?,S10E04
Kim Basinger,Alec Baldwin,Married,S10E05
Homer Simpson,Two hippie chicks,Dreams About,S10E06
Seth,Mona Simpson,Dated,S10E06
Munchie,Mona Simpson,Dated,S10E06
Willie,Fergie,?,S10E06
Comic Book Guy,Nerd Girl,Flirts,S10E09
Quimby,intern in bathroom,Flirts,S10E09
Quimby,broad,Flirts,S10E09
Old man,Bart,Flirts,S10E09
Ned,Vegas girl,Married,S10E10
Homer Simpson,Amber,Married,S10E10
Luanne,Gyro,Affair,S10E11
Chalmers,Agnes Skinner,Dated,S10E11
Krusty,Dolly Parton,Crush,S10E12
Bill Clinton,Marge Simpson,Flirts,S10E13
Captain,Crew,Lovers,S10E14
Gil,Gil's wife,Married,S10E15
Krusty,Some chick maybe,Lovers,S10E16
Willie,Mail ordered bride,Married,S10E16
Bart,Milhouse,Crush,S10E19
Greasy haired teen,key girl,Dated,S10E19
Willies mom,Willies dad,Married,S10E21