# plates.csv — The Winkleman Travel Plate Archive,,,,,,
#,,,,,,
# Each row below is one validation plate. Columns:,,,,,,
#   slug       filename stem. Images must be at:,,,,,,
#                  images/plates/{slug}.{front_ext},,,,,,
#                  images/plates/{slug}_back.{back_ext},,,,,,
#   name       displayed airline name,,,,,,
#   years      operating years shown in the caption," e.g. ""1945 – 1972"" or ""1971 – present""",,,,,
#   region     short code for the region filter (see list below),,,,,,
"#   front_ext  ""webp"" or ""png""",,,,,,
"#   back_ext   ""webp"""," ""png""", or blank if the back hasn't been scanned yet,,,,
#   notes      optional internal notes — ignored by the site,,,,,,
#,,,,,,
# Region codes:,,,,,,
#   na  N. America           eu  Europe               sa  Latin America,,,,,,
#   as  Asia                 me  Middle East          af  Africa,,,,,,
#   oc  Oceania              misc Miscellaneous (rail, hotels, unknowns),,,,
#,,,,,,
# Lines starting with # are comments and are ignored. Blank lines are also ignored.,,,,,,
# The site sorts plates alphabetically by name, so the order here doesn't matter.,,,,,
# The filter bar only shows region chips for regions that have at least one plate.,,,,,,
# Adding a new plate: drop the two image files into /images/plates/, append one row below.,,,,,
#,,,,,,
slug,name,years,region,front_ext,back_ext,notes
action_tours,Action Tours,?,misc,webp,webp,
aero_coach,Aero Coach Aviation,1981 – 1992,na,webp,webp,
aerolineas_argentinas,Aerolíneas Argentinas,1950 – present,sa,webp,webp,
air_jamaica,Air Jamaica,1968 – 2015,na,webp,webp,
air_new_zealand,Air New Zealand,1940 – present,oc,webp,webp,
air_north,Air North,1960 – 1989,na,webp,webp,
america_west_airlines,America West Airlines,1983 – 2007,na,webp,webp,
american_international_airways,American International Airways,1981 – 1997,na,webp,webp,
bahamasair,Bahamasair,1973 – present,na,webp,webp,
best_airlines,Best Airlines,1982 – 1986,na,webp,webp,
braniff,Braniff International,1928 – 1982,na,webp,webp,
bwia,BWIA International,1940 – 2006,sa,webp,webp,
canadian_airlines,Canadian Airlines International,1987 – 2001,na,webp,webp,
cayman_airways,Cayman Airways,1968 – present,na,webp,webp,
china_airlines,China Airlines,1959 – present,as,webp,webp,
dominicana_airlines,Dominicana Airlines,1944 – 1995,sa,webp,webp,
eastern_airlines,Eastern Airlines,1926 – 1991,na,webp,webp,
ecuatoriana,Ecuatoriana de Aviación,1957 – 2006,sa,webp,webp,
egypt_air,EgyptAir,1933 – present,af,webp,webp,
evergreen_international,Evergreen International Airlines,1975 – 2013,na,webp,webp,
faucett_peruvian_airlines,Faucett Peruvian Airlines,1928 – 1997,sa,webp,webp,
finnair,Finnair,1923 – present,eu,webp,webp,
florida_express,Florida Express,1984 – 1988,na,webp,webp,
freedom_airlines,Freedom Airlines,? - 1984,na,webp,webp,
frontier_airlines,Frontier Airlines,1950 – 1986,na,webp,webp,
guatemalan_airlines,Guatemalan Airlines,?,sa,webp,webp,
hawaiian_airlines,Hawaiian Airlines,1929 – present,na,webp,webp,
holiday_airlines,Holiday Airlines,?,na,webp,webp,
iran_air,Iran Air,1946 – present,me,webp,webp,
jet_america,Jet America,1981 – 1987,na,webp,webp,
lab_airlines,Lloyd Aéreo Boliviano,1925 – 2008,sa,webp,webp,
lacsa_airlines,LACSA,1945 – 2013,sa,webp,webp,
laker_airways,Laker Airways,1966 – 1982,eu,webp,webp,
mall_airways,Mall Airways,1973 – 1989,na,webp,webp,
mgm_grand_air,MGM Grand Air,1987 – 1994,na,webp,webp,
midway_airlines,Midway Airlines,1976 – 1991,na,webp,webp,
midwest_express,Midwest Express Airlines,1984 – 2010,af,webp,webp,
mohawk_airlines,Mohawk Airlines,1945 – 1972,na,webp,webp,
muse_air,Muse Air,1981 – 1987,na,webp,webp,
new_york_air,New York Air,1980 – 1987,na,webp,webp,
northeastern,Northeastern International Airlines,1982 – 1986,na,webp,webp,
north_central_airlines,North Central Airlines,1944 – 1979,na,webp,webp,
ozark,Ozark Air Lines,1950 – 1986,na,webp,webp,
pan_am,Pan American,1927 – 1991,na,webp,webp,
peoplexpress,People Express,1981 – 1987,na,webp,webp,
philippines_airlines,Philippine Airlines,1941 – present,as,webp,webp,
presidential_airways,Presidential Airways,1985 – 1989,na,webp,webp,
reno_air,Reno Air,1992 – 1999,na,webp,webp,
simmons_airlines,Simmons Airlines,1978 – 1998,na,webp,webp,
south_african_airways,South African Airways,1929 – present,af,webp,webp,
southwest_airlines,Southwest Airlines,1971 – present,na,webp,webp,
sunworld_international,Sunworld International Airways,1983 – 1988,na,webp,webp,
tan_airlines,Transportes Aéreos Nacionales,1947 – 1991,sa,webp,webp,
transamerica_airlines,Transamerica Airlines,1979 – 1986,na,webp,webp,
trump_shuttle,The Trump Shuttle,1989 – 1992,na,webp,webp,
ultrair,UltrAir,1993 – 1994,na,webp,webp,
us_airways,US Airways,1997 – 2015,na,webp,webp,
varig,VARIG,1927 – 2006,sa,webp,webp,
vasp_brazilian_airlines,VASP Brazilian Airlines,1933 – 2005,sa,webp,webp,
via_rail_canada,Via Rail Canada,1977 – present,misc,webp,webp,
virgin_atlantic,Virgin Atlantic,1984 – present,eu,webp,webp,
western_airlines,Western Airlines,1926 – 1987,na,webp,webp,
western_airlines2,Western Airlines,1926 – 1987,na,webp,webp,